id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079907158150100,RP,Residential Property,,,10/13/2020 11:31:06 AM,206.020.E,"2,090",,,,,,,,
06079907201010000,RP,Mixed Use - Res & Comm,226 W MAIN ST,STORY ADD,10/13/2020 11:33:03 AM,206.101.D,"54,301",,1910,05 - Traditional or Victorian,5 - Forced Air,2912,4,2,0
06079907201160000,RP,Commercial Property,202 W MAIN ST,STORY ADD,10/13/2020 11:25:30 AM,206.101.D,"25,560",,2004,,,,,,
06079907202010000,RP,Commercial Property,131 W BABCOCK ST,STORY ADD,10/13/2020 11:35:34 AM,206.101.D,"4,080",,1890,,,,,,
06079907202030000,RP,Commercial Property,26 S GRAND AVE,STORY ADD,10/13/2020 11:33:10 AM,206.101.D,"2,623",,1951,,,,,,
06079907202050000,RP,Commercial Property,22 S GRAND AVE,STORY ADD,10/13/2020 11:32:36 AM,206.101.D,"3,050",,1936,,,,,,
06079907202097000,RP,Condo/Townhouse Master,108 W MAIN ST,DOWNTOWNER MALL CONDO,10/13/2020 11:29:05 AM,206.101.D,"40,560",,1980,,,,,,
06079907202200000,RP,Commercial Property,122 W MAIN ST,STORY ADD,10/13/2020 11:23:31 AM,206.101.D,"17,591",,1963,,,,,,
06079907202240000,RP,Commercial Property,136 W MAIN ST,STORY ADD,10/13/2020 11:33:42 AM,206.101.D,"13,506",,2017,,,,,,
06079907203050000,RP,Commercial Property,S WILLSON AVE,STORY ADD,10/13/2020 11:29:24 AM,206.101.D,"6,935",,1979,,,,,,
06079907203100000,RP,Commercial Property,23 W BABCOCK ST,STORY ADD,10/13/2020 11:23:59 AM,206.101.D,"8,190",,1945,,,,,,
06079907203157000,RP,Condo/Townhouse Master,W BABCOCK ST,TRACY BABCOCK CONDO,10/13/2020 11:30:05 AM,206.101.D,"21,150",,,,,,,,
06079907203170000,RP,Commercial Property,17 S TRACY AVE,STORY ADD,10/13/2020 1:01:49 PM,206.101.D,"1,890",,1928,,,,,,
06079907203190000,RP,Commercial Property,2-6 W MAIN ST,STORY ADD,10/13/2020 11:25:51 AM,206.101.D,"5,778",,1908,,,,,,
06079907203210000,RP,Commercial Property,10 W MAIN ST,STORY ADD,10/13/2020 11:40:28 AM,206.101.D,"4,547",,1907,,,,,,
06079907203240000,RP,Commercial Property,14 W MAIN ST,STORY ADD,4/29/2021 8:14:18 AM,206.101.D,"8,946",,1910,,,,,,
06079907203277000,RP,Condo/Townhouse Master,22-28 W MAIN ST,FLORENCE CONDO,10/13/2020 11:29:34 AM,206.101.D,"8,946",,,,,,,,
06079907203290000,RP,Commercial Property,30 W MAIN ST,STORY ADD,10/13/2020 11:27:49 AM,206.101.D,"3,550",,1900,,,,,,
06079907203317000,RP,Condo/Townhouse Master,34-40 W MAIN ST,LONE STAR COMMERCIAL CONDO,10/13/2020 11:33:32 AM,206.101.D,"5,396",,,,,,,,
06079907203330000,RP,Commercial Property,42 W MAIN ST,STORY ADD,10/13/2020 11:30:48 AM,206.101.D,"5,538",,1885,,,,,,
06079907203370000,RP,Commercial Property,24 S WILLSON AVE,STORY ADD,10/13/2020 11:25:26 AM,206.101.D,"8,498",,1929,,,,,,
06079907204010000,RP,Commercial Property,32 S TRACY AVE,BOZEMAN ORIGINAL PLAT,10/13/2020 11:38:35 AM,206.101.D,"23,700",,1900,,,,,,
06079907204110000,RP,Commercial Property,25 S BLACK AVE,BOZEMAN ORIGINAL PLAT,10/13/2020 11:27:36 AM,206.101.D,"27,360",,1940,,,,,,
06079907204160000,RP,Commercial Property,44 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:32:25 AM,206.101.D,"6,300",,1901,,,,,,
06079907204190000,RP,Commercial Property,36 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:33:56 AM,206.101.D,"6,300",,1905,,,,,,
06079907204220000,RP,Commercial Property,24 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:26:08 AM,206.101.D,"11,010",,1908,,,,,,
06079907204230000,RP,Commercial Property,18 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:36:44 AM,206.101.D,"4,620",,1900,,,,,,
06079907204270000,RP,Commercial Property,14 S TRACY AVE,BOZEMAN ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.101.D,"15,972",,1900,,,,,,
06079907205080000,RP,Commercial Property,121 E BABCOCK ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:34:02 AM,206.101,"37,200",,1973,,,,,,
06079907205100000,RP,Commercial Property,137 E BABCOCK ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:24:40 AM,206.101.A,"9,451",,1917,,,,,,
06079907205130000,RP,Commercial Property,140 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.101.D,"8,538",,1885,,,,,,
06079907205150000,RP,Commercial Property,128 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:24:39 AM,206.101.D,"6,186",,1918,,,,,,
06079907205170000,RP,Commercial Property,126 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:26:05 AM,206.101.D,"3,458",,1924,,,,,,
06079907205190000,RP,Commercial Property,122 E MAIN ST,BOZEMAN ORIGINAL PLAT,10/13/2020 11:28:41 AM,206.101.D,"3,990",,1872,,,,,,
