id,year,land,building,total,method
06079711205070000,2021,177007,834650,1011657,COST
06079711205070000,2020,140953,675347,816300,MKT
06079711205070000,2019,140953,675347,816300,MKT
06079711205090000,2021,193889,795711,989600,MKT
06079711205090000,2020,155516,637584,793100,MKT
06079711205090000,2019,155516,637584,793100,MKT
06079711205110000,2021,195420,810970,1006390,COST
06079711205110000,2020,156842,690120,846962,COST
06079711205110000,2019,156842,690120,846962,COST
06079711205130000,2021,177007,695693,872700,MKT
06079711205130000,2020,140953,630747,771700,MKT
06079711205130000,2019,140953,630747,771700,MKT
06079711205150000,2021,167182,0,167182,COST
06079711205150000,2020,132528,0,132528,COST
06079711205150000,2019,132528,0,132528,COST
06079711205170000,2021,163994,580106,744100,MKT
06079711205170000,2020,129803,530597,660400,MKT
06079711205170000,2019,129803,530597,660400,MKT
06079711205190000,2021,160676,856924,1017600,MKT
06079711205190000,2020,126970,638530,765500,MKT
06079711205190000,2019,126970,0,126970,COST
06079711205210000,2021,151069,840271,991340,MRA
06079711205210000,2020,118797,715903,834700,MKT
06079711205210000,2019,118797,715903,834700,MKT
06079711205230000,2021,162903,620597,783500,MKT
06079711205230000,2020,128871,646929,775800,MKT
06079711205230000,2019,128871,646929,775800,MKT
06079711205250000,2021,169241,663459,832700,MKT
06079711205250000,2020,134290,617510,751800,MKT
06079711205250000,2019,134290,617510,751800,MKT
06079711205270000,2021,174177,0,174177,COST
06079711205270000,2020,138522,0,138522,COST
06079711205270000,2019,138522,0,138522,COST
06079711205290000,2021,170251,584849,755100,MKT
06079711205290000,2020,135156,615344,750500,MKT
06079711205290000,2019,135156,615344,750500,MKT
06079711205310000,2021,157212,886188,1043400,MKT
06079711205310000,2020,124018,700182,824200,MKT
06079711205310000,2019,124018,700182,824200,MKT
06079711205330000,2021,162903,818997,981900,MKT
06079711205330000,2020,128871,622829,751700,MKT
06079711205330000,2019,128871,622829,751700,MKT
06079711205350000,2021,165071,843329,1008400,MKT
06079711205350000,2020,130723,634177,764900,MKT
06079711205350000,2019,130723,634177,764900,MKT
06079711205370000,2021,172237,783063,955300,MKT
06079711205370000,2020,136858,685842,822700,MKT
06079711205370000,2019,136858,686442,823300,MKT
06079711205390000,2021,156022,0,156022,COST
06079711205390000,2020,123006,0,123006,COST
06079711205390000,2019,123006,0,123006,COST
06079711205410000,2021,149778,418522,568300,MKT
06079711205410000,2020,117701,430699,548400,MKT
06079711205410000,2019,117701,430699,548400,MKT
06079711205430000,2021,170251,0,170251,COST
06079711205430000,2020,135156,0,135156,COST
06079711205430000,2019,135156,0,135156,COST
06079711205450000,2021,171250,0,171250,COST
06079711205450000,2020,136012,0,136012,COST
06079711205450000,2019,136012,0,136012,COST
06079711206010000,2021,190444,1379256,1569700,INCOME
06079711206010000,2020,155916,1358984,1514900,INCOME
06079711206010000,2019,155916,1358984,1514900,INCOME
06079711206030000,2021,209551,673949,883500,MKT
06079711206030000,2020,170762,566238,737000,MKT
06079711206030000,2019,170762,321340,492102,COST
06079711206050000,2021,202027,835173,1037200,MKT
06079711206050000,2020,162573,546227,708800,MKT
06079711206050000,2019,162573,534427,697000,MKT
06079711206070000,2021,251779,0,251779,COST
06079711206070000,2020,187457,0,187457,COST
06079711206070000,2019,187457,0,187457,COST
06079711206177000,2021,411421,0,411421,COST
06079711206177000,2020,370201,0,370201,COST
06079711206177000,2019,370201,0,370201,COST
06079711207010000,2021,718600,0,718600,COST
06079711207010000,2020,374498,0,374498,COST
06079711207010000,2019,374498,0,374498,COST
06079711207050000,2021,576718,0,576718,COST
06079711207050000,2020,323905,0,323905,COST
06079711207050000,2019,323905,0,323905,COST
06079711207090000,2021,475903,0,475903,COST
06079711207090000,2020,285335,0,285335,COST
06079711207090000,2019,285335,0,285335,COST
06079711207130000,2021,620882,19759530,20380412,COST
06079711207130000,2020,451872,19379460,19831332,COST
06079711207130000,2019,451872,19379460,19831332,COST
06079711207170000,2021,706221,0,706221,COST
06079711207170000,2020,370229,0,370229,COST
06079711207170000,2019,370229,0,370229,COST
06079711208016500,2021,216014,0,216014,COST
06079711208016500,2020,192280,0,192280,COST
06079711208016500,2019,192280,0,192280,COST
06079711209016500,2021,107690,0,107690,COST
06079711209016500,2020,96454,0,96454,COST
06079711209016500,2019,96454,0,96454,COST
06079711209027000,2021,234613,5830,240443,COST
06079711209027000,2020,295552,6940,302492,COST
06079711209027000,2019,295552,6940,302492,COST
06079711209187000,2021,186520,0,186520,COST
06079711209187000,2020,228452,0,228452,COST
06079711209187000,2019,228452,0,228452,COST
06079711210016500,2021,128792,0,128792,COST
06079711210016500,2020,174510,0,174510,COST
06079711210016500,2019,174510,0,174510,COST
06079711210157000,2021,306661,0,306661,COST
06079711210157000,2020,399205,0,399205,COST
06079711210157000,2019,399205,0,399205,COST
06079711210257000,2021,234613,0,234613,COST
06079711210257000,2020,295552,0,295552,COST
06079711210257000,2019,295552,0,295552,COST
06079711210367000,2021,153184,0,153184,COST
06079711210367000,2020,183148,0,183148,COST
06079711210367000,2019,183148,0,183148,COST
06079711210387000,2021,155493,0,155493,COST
06079711210387000,2020,186249,0,186249,COST
06079711210387000,2019,186249,0,186249,COST
06079711211016500,2021,160351,0,160351,COST
06079711211016500,2020,150803,0,150803,COST
