id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06006234213280000,RP,Mixed Use - Res & Comm,525 MADISON AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 11:35:29 AM,206.114.C,"15,000",,1948,11 - Log,1 - Floor/Wall/Space,1570,2,1,0
06006234213300000,RP,Commercial Property,515 MADISON AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 11:38:35 AM,206.114.C,"30,000",,1950,,,,,,
06006234214010000,RP,Residential Property,108 FAITHFUL ST,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 11:26:01 AM,206.014.D,"15,000",,1993,14 - Other,0,200,1,0,1
06006234214030000,RP,Commercial Property,112 FAITHFUL ST,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 11:23:28 AM,206.114.C,"15,000",,1950,,,,,,
06006234214050000,RP,Commercial Property,120 FAITHFUL ST,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.114.C,"15,000",,2005,,,,,,
06006234214070000,RP,Commercial Property,130 FAITHFUL ST,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.114.C,"15,000",,1997,,,,,,
06006234214090000,RP,Commercial Property,418 FIREHOLE AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.014.D,"7,500",,1976,,,,,,
06006234214120000,RP,Commercial Property,420 FIREHOLE AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.014.D,"15,000",,2008,,,,,,
06006234214140000,RP,Commercial Property,424 FIREHOLE AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.114.C,"7,500",,1975,,,,,,
06006234214160000,RP,Commercial Property,428 - 432 FIREHOLE AVE,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.114.C,"15,000",,1950,,,,,,
06006234214180000,RP,Commercial Property,145 GEYSER ST,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 1:01:49 PM,206.114.C,"15,000",,1989,,,,,,
06006234214200000,RP,Residential Property,435 B PKWY,WEST YELLOWSTONE ORIGINAL PLAT,10/13/2020 11:39:56 AM,206.014.D,"15,000",,1956,03 - Ranch,5 - Forced Air,1190,2,1,0
