id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079711205070000,RP,Residential Property,47 VOLANS CT,GALACTIC PARK SUB,10/13/2020 11:23:50 AM,206.004.C,00,0.63,2016,08 - Conventional,9 - Hot/Cool Air,4824,5,4,1
06079711205090000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:28:28 AM,206.004.C,00,0.83,2018,08 - Conventional,5 - Forced Air,3394,4,3,1
06079711205110000,RP,Residential Property,181 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:37:28 AM,206.004.C,00,0.85,2009,08 - Conventional,5 - Forced Air,5416,4,3,1
06079711205130000,RP,Residential Property,157 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:32:47 AM,206.004.C,00,0.63,2012,08 - Conventional,2 - Hot Water/Water Radiant,4660,4,5,0
06079711205150000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:36:41 AM,206.004.C,00,0.53,,,,,,,
06079711205170000,RP,Residential Property,129 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:29:21 AM,206.004.C,00,0.5,2017,08 - Conventional,5 - Forced Air,3392,4,2,0
06079711205190000,RP,Residential Property,115 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:29:18 AM,206.004.C,00,0.47,2019,08 - Conventional,2 - Hot Water/Water Radiant,3317,5,3,0
06079711205210000,RP,Residential Property,101 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:24:01 AM,206.004.C,00,0.39,2017,08 - Conventional,2 - Hot Water/Water Radiant,4496,4,5,1
06079711205230000,RP,Residential Property,79 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:37:17 AM,206.004.C,00,0.49,2012,08 - Conventional,5 - Forced Air,4100,5,2,1
06079711205250000,RP,Residential Property,55 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:31:50 AM,206.004.C,00,0.55,2007,08 - Conventional,5 - Forced Air,3460,4,3,1
06079711205270000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:38:11 AM,206.004.C,00,0.6,,,,,,,
06079711205290000,RP,Residential Property,30 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 1:01:49 PM,206.004.C,00,0.56,2006,08 - Conventional,5 - Forced Air,3942,3,3,0
06079711205310000,RP,Residential Property,40 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:37:35 AM,206.004.C,00,0.44,2013,08 - Conventional,5 - Forced Air,3948,4,4,0
06079711205330000,RP,Residential Property,56 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:39:48 AM,206.004.C,00,0.49,2014,08 - Conventional,5 - Forced Air,3170,3,2,1
06079711205350000,RP,Residential Property,78 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:34:27 AM,206.004.C,00,0.51,2011,08 - Conventional,5 - Forced Air,3132,3,3,0
06079711205370000,RP,Residential Property,106 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:31:17 AM,206.004.C,00,0.58,2014,08 - Conventional,5 - Forced Air,3802,4,3,1
06079711205390000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:34:10 AM,206.004.C,00,0.43,,,,,,,
06079711205410000,RP,Residential Property,176 MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:28:16 AM,206.004.C,00,0.38,2011,08 - Conventional,5 - Forced Air,2649,4,3,1
06079711205430000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:27:21 AM,206.004.C,00,0.56,,,,,,,
06079711205450000,RP,Residential Property,MILKY WAY DR,GALACTIC PARK SUB,10/13/2020 11:31:11 AM,206.004.C,00,0.57,,,,,,,
06079711206010000,RP,Commercial Property,243 PEGASUS DR,GALACTIC PARK SUB,10/13/2020 11:33:47 AM,206.105.B,00,0.84,2006,,,,,,
06079711206030000,RP,Residential Property,21 AQUILA CT,GALACTIC PARK SUB,10/13/2020 11:27:01 AM,206.105.B,00,1.05,2019,08 - Conventional,2 - Hot Water/Water Radiant,3854,2,3,0
06079711206050000,RP,Residential Property,32 AQUILA CT,GALACTIC PARK SUB,10/13/2020 11:34:26 AM,206.004.C,00,0.94,2017,08 - Conventional,5 - Forced Air,3046,4,3,0
06079711206070000,RP,Commercial Property,AQUILA CT,GALACTIC PARK SUB,10/13/2020 1:01:49 PM,206.105.B,00,1.32,,,,,,,
06079711206177000,RP,Condo/Townhouse Master,ZOOT WAY,NAOMI ROSE CONDO,10/13/2020 11:38:47 AM,206.004.C,00,9.448,,,,,,,
06079711207010000,RP,Commercial Property,ZOOT ENTERPRISES LN,GALACTIC PARK SUB,10/13/2020 11:32:00 AM,206.105.B,00,7.21,,,,,,,
06079711207050000,RP,Commercial Property,ZOOT ENTERPRISES LN,GALACTIC PARK SUB,10/13/2020 11:28:39 AM,206.105.B,00,5.05,,,,,,,
06079711207090000,RP,Residential Property,ZOOT ENTERPRISES LN,GALACTIC PARK SUB,10/13/2020 11:26:23 AM,206.105.B,00,3.7,,,,,,,
06079711207130000,RP,Industrial Real Property,555 ZOOT ENTERPRISES LN,GALACTIC PARK SUB,10/13/2020 11:27:32 AM,206.105.B,00,11.43,2002,,,,,,
06079711207170000,RP,Commercial Property,ZOOT ENTERPRISES LN,GALACTIC PARK SUB,10/13/2020 11:33:15 AM,206.105.B,00,7.01,,,,,,,
06079711208016500,RP,Residential Property,,GALACTIC PARK SUB,10/13/2020 11:36:23 AM,206.004.C,00,43.937,,,,,,,
06079711209016500,RP,Residential Property,QUAIL RUN RD,NORTHSTAR MULTI FAMILY PH 1,10/13/2020 11:24:38 AM,206.003.W,00,6.243,,,,,,,
06079711209027000,RP,Condo/Townhouse Master,909 QUAIL RUN RD,ORION VIEW CONDO,10/13/2020 11:30:36 AM,206.715.K,00,1.726,2009,,,,,,
06079711209187000,RP,Condo/Townhouse Master,QUAIL RUN RD,GEMINI VISTA CONDO,10/13/2020 11:30:18 AM,206.715.K,00,0.862,,,,,,,
06079711210016500,RP,Residential Property,,NORTHSTAR MULTI FAMILY PH 2,10/13/2020 11:29:36 AM,206.003.W,00,10.73,,,,,,,
06079711210157000,RP,Condo/Townhouse Master,COVEY CT,FERNDALE CONDO,10/13/2020 11:30:30 AM,206.715.K,00,3.882,,,,,,,
06079711210257000,RP,Condo/Townhouse Master,17 & 23 & 57 PRAIRIE GRASS CT,PRAIRIE GRASS CONDO,10/13/2020 11:23:58 AM,206.715.K,00,1.726,,,,,,,
06079711210367000,RP,Condo/Townhouse Master,PRAIRIE GRASS CT,SUMMER BREEZE CONDO,10/13/2020 11:34:25 AM,206.715.K,00,0.475,,,,,,,
06079711210387000,RP,Condo/Townhouse Master,PRAIRIE GRASS CT,PERENNIAL HEIGHTS CONDO,10/13/2020 11:37:18 AM,206.715.K,00,0.497,,,,,,,
06079711211016500,RP,Residential Property,,NORTH STAR SUB PH 3,10/13/2020 11:27:30 AM,206.003.W,00,20.83,,,,,,,
06079711211020000,RP,Commercial Property,TAILFEATHER LN,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:25:53 AM,206.003.W,00,0.483,2015,,,,,,
06079711211040000,RP,Commercial Property,TAILFEATHER LN,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:30:15 AM,206.003.W,00,0.483,2015,,,,,,
06079711211055001,RP,Residential Property,51 SAGE BLOOM CT,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:24:58 AM,206.515.T,00,0.116,2014,26 - Townhome - Row,5 - Forced Air,1750,3,2,1
06079711211060000,RP,Commercial Property,SAGE BLOOM CT,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:25:33 AM,206.003.W,00,0.483,2015,,,,,,
06079711211075002,RP,Residential Property,51 SAGE BLOOM CT,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:30:41 AM,206.515.T,00,0.086,2014,26 - Townhome - Row,5 - Forced Air,1764,3,2,1
06079711211085003,RP,Residential Property,51 SAGE BLOOM CT,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:25:00 AM,206.515.T,00,0.086,2014,26 - Townhome - Row,5 - Forced Air,1764,3,2,1
06079711211095004,RP,Residential Property,51 SAGE BLOOM CT,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:23:44 AM,206.515.T,00,0.143,2014,26 - Townhome - Row,5 - Forced Air,1750,3,2,1
06079711211107000,RP,Condo/Townhouse Master,,TEAL COURT CONDO,10/13/2020 11:30:15 AM,206.715.K,00,1.725,,,,,,,
06079711211167000,RP,Condo/Townhouse Master,SAGE BLOOM CT,SHELTER GROVE CONDO,10/13/2020 11:31:49 AM,206.715.K,00,5.89,,,,,,,
06079711211247000,RP,Condo/Townhouse Master,,TURNSTONE CONDO,10/13/2020 11:38:50 AM,206.715.K,00,0.905,,,,,,,
06079711211307000,RP,Condo/Townhouse Master,TAILFEATHER LN,MOUNTAIN QUAIL CONDO,10/13/2020 11:35:30 AM,206.715.K,00,0.863,,,,,,,
06079711211327000,RP,Condo/Townhouse Master,TAILFEATHER LN,TAIL FEATHER CONDO PARK PH 1,10/13/2020 11:26:05 AM,206.715.K,00,0.865,2008,,,,,,
06079711211360000,RP,Commercial Property,48 TAILFEATHER LN,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:34:38 AM,206.003.W,00,0.432,2013,,,,,,
06079711211380000,RP,Commercial Property,50 TAILFEATHER LN,NORTHSTAR MULTI FAMILY PH 3,10/13/2020 11:31:22 AM,206.003.W,00,0.432,2013,,,,,,
06079711211427000,RP,Condo/Townhouse Master,,TREE LINE CONDO,10/13/2020 11:35:38 AM,206.715.K,00,2.59,,,,,,,
06079711301030000,RP,Residential Property,,,10/13/2020 11:32:27 AM,206.004,00,0.52,,,,,,,
06079711305017000,RP,Commercial Property,81 TIMBERLINE DR,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:31:07 AM,206.105.B,00,2.73,2019,,,,,,
06079711305030000,RP,Commercial Property,,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:37:04 AM,206.105.B,00,1.243,1979,,,,,,
06079711305050000,RP,Commercial Property,70 LODGEPOLE LN,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:25:55 AM,206.105.B,00,1.243,2002,,,,,,
06079711305077000,RP,Condo/Townhouse Master,ZOOT WAY,WEST GALLATIN COMMERCIAL CONDO,10/13/2020 11:35:52 AM,206.105.B,00,1.457,2007,,,,,,
06079711306010000,RP,Commercial Property,128 TIMBERLINE DR,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:35:14 AM,206.105.B,00,1.599,2005,,,,,,
06079711306030000,RP,Commercial Property,170 TIMBERLINE DR,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:23:10 AM,206.105.B,00,1.669,1991,,,,,,
06079711306050000,RP,Commercial Property,WHITE PINE LN,CORNERS FOUR BUSINESS PK 2,10/13/2020 11:33:15 AM,206.105.B,00,2.241,2002,,,,,,
06079711401010000,RP,Residential Property,27980 NORRIS RD,,10/13/2020 11:34:01 AM,206.004,00,0.659,1983,08 - Conventional,5 - Forced Air,1652,3,3,1
06079711401020000,RP,Residential Property,28186 NORRIS RD,,10/13/2020 11:28:53 AM,206.004,00,2.23,1998,,,,,,
06079711401020900,RP,Commercial Property,29001 NORRIS RD,,10/13/2020 11:25:02 AM,206.105.B,00,4,2019,,,,,,
06079711401030000,RP,Residential Property,150 PEGASUS DR,GALACTIC PARK SUB,10/13/2020 11:40:20 AM,206.004.C,00,3.19,1999,03 - Ranch,6 - Heat Pump,2138,3,2,0
06079711401047000,RP,Condo/Townhouse Master,212 ZOOT WAY,DIRT BAG BUILDING,10/13/2020 11:25:42 AM,206.105.B,00,1.508,2005,,,,,,
